pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,15,1,61,1,,,,,157.70533509994857,,157.68006849999074,157.70533509994857,158.70519199990667,158.70519199990667,158.70519199990667,158.70519199990667,158.72451999993064,159.7224058000138,159.7224058000138,160.32839439995587,v,1,0.5924456999637187,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,15,2,62,2,,,,,160.35669349995442,,160.33716609992553,160.35669349995442,161.3599927999312,161.3599927999312,161.3599927999312,161.3599927999312,161.38946889992803,162.3553062999854,162.3553062999854,162.9746509999968,c,1,0.5859642000868917,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,15,3,63,3,,,,,163.00547460000962,,162.9789093999425,163.00547460000962,164.0222005000105,164.0222005000105,164.0222005000105,164.0222005000105,164.05593589995988,164.9889662999194,164.9889662999194,165.65831939992495,z,1,0.6645501999882981,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,16,0,64,0,,,,,165.68854219990317,,165.66295989998616,165.68854219990317,166.68803249998018,166.68803249998018,166.68803249998018,166.68803249998018,166.72106289991643,167.6880137999542,167.6880137999542,168.29142429993954,x,1,0.5809384000021964,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,16,1,65,1,,,,,168.3212182999123,,168.2953427999746,168.3212182999123,169.32139639998786,169.32139639998786,169.32139639998786,169.32139639998786,169.35403649997897,170.32128849998116,170.32128849998116,171.00769409991335,v,1,0.6749914999818429,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,16,2,66,2,,,,,171.03702779999003,,171.01344609993976,171.03702779999003,172.03715369990095,172.03715369990095,172.03715369990095,172.03715369990095,172.0712125999853,173.03730709990487,173.03730709990487,173.50661839998793,c,1,0.4391507999971509,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,16,3,67,3,,,,,173.5368342999136,,173.5106567000039,173.5368342999136,174.5367584999185,174.5367584999185,174.5367584999185,174.5367584999185,174.5701978999423,175.53663879993837,175.53663879993837,176.24010819999967,z,1,0.6997235999442637,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,17,0,68,0,,,,,176.27065879991278,,176.24465189990588,176.27065879991278,177.27052609995008,177.27052609995008,177.27052609995008,177.27052609995008,177.303176999907,178.26970730000176,178.26970730000176,178.8399875999894,x,1,0.5416138999862596,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,17,1,69,1,,,,,178.8694406999275,,178.84359599999152,178.8694406999275,179.86975079996046,179.86975079996046,179.86975079996046,179.86975079996046,179.90331510000397,180.870090899989,180.870090899989,181.4395130999619,v,1,0.5399974000174552,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,17,2,70,2,,,,,181.46929139993154,,181.44340009998996,181.46929139993154,182.46915109991096,182.46915109991096,182.46915109991096,182.46915109991096,182.50251629995182,183.4690526999766,183.4690526999766,183.8724038999062,c,1,0.3820869999472052,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,17,3,71,3,,,,,183.9020854999544,,183.87665899994317,183.9020854999544,184.90207239997108,184.90207239997108,184.90207239997108,184.90207239997108,184.93594429991208,185.90219739999156,185.90219739999156,186.38887839997187,z,1,0.45213170000351965,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
