trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
64,0,64,0,128.29944299999624,,128.08732799999416,10,128.29944299999624,128.29944299999624,0.14830880000954494,129.68392270000186,[-0.455],[-0.415],[1],[0],[0],[1.450303099991288],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
65,0,65,0,129.81444079999346,,129.70347950002179,5,129.81444079999346,129.81444079999346,0.07617849996313453,132.21741490002023,[0.055],[-0.02666666666666667],[1],[0],[0],[2.4431274999515153],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
66,0,66,0,132.32856799999718,,132.2349252999993,5,132.32856799999718,132.32856799999718,0.0717284000129439,133.74786830000812,[0.365],[-0.18166666666666667],[1],[0],[0],[1.444950900040567],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
67,0,67,0,133.86203090002527,,133.7574885999784,10,133.86203090002527,133.86203090002527,0.08137319999514148,137.4165586999734,[-0.15833333333333333],[-0.19666666666666666],[1],[0],[0],[3.5785966999828815],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
68,0,68,0,137.54462940001395,,137.43668589997105,10,137.54462940001395,137.54462940001395,0.09590040001785383,138.99983280000743,[-0.07],[0.06666666666666667],[1],[0],[0],[1.4726044000126421],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
69,0,69,0,139.2295852000243,,139.01610990002519,10,139.2295852000243,139.2295852000243,0.14641570003004745,141.20193009998184,[-0.10166666666666667],[0.295],[1],[0],[0],[2.043050999986008],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
70,0,70,0,141.32775050000055,,141.219164500013,5,141.32775050000055,141.32775050000055,0.07180410000728443,143.2342925000121,[-0.46166666666666667],[-0.395],[1],[0],[0],[1.9457051000208594],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
71,0,71,0,143.36011760000838,,143.25089530000696,10,143.36011760000838,143.36011760000838,0.0903878000099212,145.68227330001537,[0.27],[0.30666666666666664],[1],[0],[0],[2.3428647000109777],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
72,0,72,0,145.79411399998935,,145.700752499979,5,145.79411399998935,145.79411399998935,0.06930839997949079,147.62906860001385,[-0.4483333333333333],[0.3233333333333333],[1],[0],[0],[1.863912800035905],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
73,0,73,0,147.760047400021,,147.63686710002366,10,147.760047400021,147.760047400021,0.08236989995930344,150.3972626000177,[-0.3416666666666667],[-0.175],[1],[0],[0],[2.6784837000304833],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
